name,link,number of times bought,price
EX16 Smart Watch FSTN LCD Screen 5ATM Waterproof Sports Tracker,https://www.cigabuy.com/ex16-smart-watch-fstn-lcd-screen-5atm-waterproof-sports-tracker-p-21393.html,(0),$3.56
4 in1 Women's Trimmer Electric Shaver Razor for Bikini Area,https://www.cigabuy.com/4-in1-womens-trimmer-electric-shaver-razor-for-bikini-area-p-21425.html,(0),$2.65
BT315 Bluetooth Headset Pendant Sports Headphones Smart Magnetic Waterproof,https://www.cigabuy.com/bt315-bluetooth-headset-pendant-sports-headphones-smart-magnetic-waterproof-p-21438.html,(0),$4.77
Portable Ultrasonic Mosquito Repellent Bracelet Silicone Strap IP65 Waterproof,https://www.cigabuy.com/portable-ultrasonic-mosquito-repellent-bracelet-silicone-strap-ip65-waterproof-p-21600.html,(0),$1.19
Rechargeable LED Solor Flashlight 7 Modes USB Torch Lamp,https://www.cigabuy.com/rechargeable-led-solor-flashlight-7-modes-usb-torch-lamp-p-21717.html,(0),$3.54
Baseus Dual-USB Ports 2.4A Car Charger Power Charger f iPad iPhone,https://www.cigabuy.com/baseus-dual-usb-ports-24a-car-charger-power-charger-f-ipad-iphone-p-21723.html,(0),$2.36
Portable Manual Ceramic Coffee Grinder Washable Mini Manual Hand Coffee,https://www.cigabuy.com/portable-manual-ceramic-coffee-grinder-washable-mini-manual-hand-coffee-p-21733.html,(0),$3.54
Beard Catcher Apron Beard Cape Bib and Beard Shaping Tool for Shaving,https://www.cigabuy.com/beard-catcher-apron-beard-cape-bib-and-beard-shaping-tool-for-shaving-p-12355.html,(0),$1.35
Swan Base Holder Dinnerware Set with 5 Forks and 5 Spoons - Silver,https://www.cigabuy.com/swan-base-holder-dinnerware-set-with-5-forks-and-5-spoons-silver-p-21309.html,(1),$5.18
X5 Bluetooth 5.0+3.0+2.4G Wireless Three Mode Mute Rechargeable Gaming Mouse,https://www.cigabuy.com/x5-bluetooth-503024g-wireless-three-mode-mute-rechargeable-gaming-mouse-p-19752.html,(0),$6.21
10pcs Stainless Steel Leaf Fruit Forks Set - Silver,https://www.cigabuy.com/10pcs-stainless-steel-leaf-fruit-forks-set-silver-p-21306.html,(0),$2.57
Multifunction Stainless Steel Julienne Peeler Vegetable Peeler Double Planing,https://www.cigabuy.com/multifunction-stainless-steel-julienne-peeler-vegetable-peeler-double-planing-p-21415.html,(0),$0.99
Printing Pen 12V 3D Pen Pencil 3D Drawing Pen Filament For Kid Education,https://www.cigabuy.com/printing-pen-12v-3d-pen-pencil-3d-drawing-pen-filament-for-kid-education-p-19316.html,(0),$8.99
Baseus Bluetooth Earphones Single Ear Wireless Earphone With Charging Dock,https://www.cigabuy.com/baseus-bluetooth-earphones-single-ear-wireless-earphone-with-charging-dock-p-19729.html,(0),$3.57
AXGIO Atom Business Mini Wireless Bluetooth Earphone f iPhone 7,https://www.cigabuy.com/axgio-atom-business-mini-wireless-bluetooth-earphone-f-iphone-7-p-19901.html,(0),$11.92
